,Subtype_0,Subtype_1,Subtype_2,Subtype_3
MUC16,0.10996704529620945,-2.146105034993872,-0.42796469431345185,-0.10996704529620945
IRX2,0.10707339081967071,-2.15223683002455,-0.475239792598294,-0.10707339081967071
NOTUM,-1.3124577765048218,0.6633411118121605,-2.3472652051578287,-0.6633411118121605
B3GNT6,-0.4696544024530772,-2.2594901620134884,0.4523713642549486,-0.4523713642549486
SERPINB2,-0.6833839580951719,-0.043608194261277655,-2.1422455299543905,0.043608194261277655
OTC,-1.9000414451609522,-2.26744515023342,1.6138095911619263,-1.6138095911619263
CR2,-0.6781672497319228,-2.363995176543678,0.6781672497319228,-0.7933480148539184
PI3,-1.953447975522927,0.1377281224939871,-0.1377281224939871,-1.6082809277568073
PSAPL1,-2.159820834276695,-1.8187340635843832,0.6898621322212658,-0.6898621322212658
CEACAM5,-2.2541495809928684,-0.958874335947412,0.958874335947412,-1.8374229205391157
ALPPL2,-1.7448455818001678,1.7448455818001678,-2.078698153881643,-2.0972661519305333
ALPI,-2.240957058771596,-0.9321133669555007,0.9321133669555007,-1.8454307428340524
ADH1C,-0.7195665271846042,-2.3262445138002374,0.548891234495961,-0.548891234495961
CPA2,-0.388512714127057,-2.249064243316821,-0.49673482252615164,0.388512714127057
DUSP27,-0.371688698658211,-2.258985771867464,-1.1727447204889594,0.371688698658211
ONECUT3,-1.1184795402158683,1.1184795402158683,-1.4690145571637006,-2.421432846983759
CYP2W1,-2.1755638078929946,1.6942017480303606,-2.0094566158884706,-1.6942017480303606
CRISP3,-0.1235420158726543,-2.12629232140264,-1.1984531949463342,0.1235420158726543
PKP1,-1.8272849610977093,1.4966191179702715,-1.4966191179702715,-2.3211953086921695
CA9,-2.237790522157579,-1.9355407210400466,-1.128964777300797,1.128964777300797
CXorf61,-1.917814192560883,-2.1294968245103383,1.917814192560883,-1.923529940923618
TCN1,-1.9141055619758611,-1.9750420831410993,1.9141055619758611,-2.0940723816681714
UGT1A10,-1.901324746546462,-1.54044051311381,-0.01553666774904861,0.01553666774904861
KLK11,-0.4528427106522436,-1.7143319855449255,0.4528427106522436,-2.099125886912988
KRT14,-0.9089768478517565,-1.9138746183043633,-2.1883523230072037,0.9089768478517565
CYP2B6,-2.371709039011828,1.3644386368309342,-1.3644386368309342,-1.7161784698033673
A4GNT,-0.27039651516020025,-2.241612037212551,-0.7520378453807728,0.27039651516020025
FGA,-2.07125617379317,-1.3248534201517836,-2.1643035525394896,1.3248534201517836
ORM1,-0.2244714985152438,-2.136416955705251,-1.3564849204481995,0.2244714985152438
CLDN6,-1.2881624245228802,-2.07098625455601,-2.160835357683582,1.2881624245228802
CEACAM7,-0.6848554083356574,-9.523012277682978e-05,-2.121236618224688,9.523012277682978e-05
ISX,-2.37086665122098,-0.6574231273864042,0.6574231273864042,-1.0790238095066242
CDHR2,-1.780972504115426,0.424230020736791,-0.424230020736791,-2.035907521145175
CREB3L3,-1.1275714846292224,-2.426433426044559,0.9230825129418812,-0.9230825129418812
PIWIL1,-1.0675953721720461,-2.443010670035911,1.0675953721720461,-1.178938802433604
