,0,1,2,3
MIMAT0027541,-3.4080029230851787,-4.012084163046759,-4.976093276578087,-3.969466559068147
MIMAT0015045,-1.5320030127777662,-0.7800214012075022,-2.361858180258176,-1.6184855542457977
MIMAT0004950,-3.8340906304309845,-2.1995865915191977,-3.9383312466375093,-4.084669586665973
MIMAT0018120,-2.759339475064167,-3.1796602432917553,-3.5655783332044493,-2.802118690783153
MIMAT0004920,-2.6274360079759944,-0.429259480086162,-3.049161565926102,-2.9703771236616077
MIMAT0028222,-2.6329319636371378,-2.788493521385772,-4.257443191419914,-2.4311259997108188
MIMAT0003302,-3.290093088510189,-4.412689143757591,-3.313945858720102,-3.1645029270938414
MIMAT0018358,-2.614063990595176,-2.895060840923835,-2.7229144246961434,-2.8801052219964562
MIMAT0005584,-1.87862443819224,-0.06788159164556437,-1.9990957182917375,-2.317374155997617
MIMAT0022500,-2.972664149095973,-3.0737014514910816,-2.8390996810298628,-3.2628834028823337
MIMAT0025460,-3.082762579513782,-3.2124704198661562,-2.5455920352530503,-3.135462627621927
MIMAT0005941,-3.8937847954169538,-3.019130184468524,-4.303327946322339,-3.6725584232893462
MIMAT0018107,-2.908973340336332,-2.9157271909083566,-3.6227746590132845,-2.988040396197735
MIMAT0002805,-4.132094318888735,-2.8452776950713923,-4.670009058079138,-5.214306415180473
MIMAT0022491,-2.429043447723028,-1.6670259998042123,-1.9664332649202696,-2.4837897531955395
MIMAT0005882,-3.6392615314770804,-3.3114449803268045,-3.7173988346273674,-3.739175300501937
MIMAT0019963,-2.979443079647213,-4.1306583482825925,-2.840877059091771,-2.850130948059407
MIMAT0018112,-3.23785837339454,-3.095911089243878,-2.8556052779095578,-2.9837224831525417
MIMAT0002883,-1.3325594687778766,-1.5877273045451776,-2.467733762494744,-1.7002354612729875
MIMAT0027517,-3.3449680685217587,-5.395183304635992,-2.968759898923678,-2.9517909765998094
MIMAT0000685,-2.3991892602300444,-1.382323036767263,-4.491271343771043,-2.790107298852883
MIMAT0025458,-3.6205734841258788,-4.258837233548823,-3.4417642077213175,-3.1995388228866903
MIMAT0019696,-2.026414223478495,-2.533732228482849,-3.2731891273574627,-2.3376297368801184
MIMAT0005942,-3.2781709507204155,-3.7779337913976065,-2.279257722357316,-2.7890334607760203
MIMAT0026482,-3.3319387299187047,-3.606643086321411,-2.3141568618177817,-3.556063359082565
MIMAT0004612,-3.8700383344621514,-4.258825071830286,-4.278981167201446,-4.59426380235282
MIMAT0003246,-2.697662663386488,-2.1851813049477116,-3.2079667799031766,-2.8824119918503213
MIMAT0019058,-3.1619868310927663,-3.513526733861343,-4.135391085865865,-3.2327178090061954
MIMAT0005929,-3.831198106938492,-3.8129738180968538,-5.393732141980763,-3.9911435295036393
MIMAT0000428,-1.1334738879823394,-1.2271966809760868,-1.2726058752110168,-1.704284490104593
MIMAT0026765,-4.110355487256828,-4.268349698319728,-3.820597141130936,-4.196905657370709
MIMAT0004793,-2.193439433029831,-0.2674064160624165,-2.460074387110269,-2.0102532420445107
MIMAT0027486,-3.9068006793736902,-1.0924226416557752,-4.558232741390669,-4.2903382355705295
