,0,1,2,3
FABP2,3.6387039867109627,4.49474,5.73411875,3.9006238095238097
THBS4,7.503458803986712,7.663380000000001,6.985075,6.89509761904762
DKK1,5.934980066445183,5.893120000000001,4.4426875,5.580140476190476
SCEL,3.9290089700996673,3.7034999999999996,3.0476937499999996,3.9560428571428568
SLC9A3,7.146131561461794,6.4534199999999995,6.524475,5.872019047619047
GC,3.594186710963455,3.18958,3.46578125,3.7948428571428576
UGT2A3,5.125561794019934,5.27826,5.7009437499999995,5.955690476190476
PRSS1,4.235376079734219,5.3029,4.22679375,4.6645666666666665
MTTP,4.258202990033222,4.2771799999999995,5.77803125,4.31255
PRAP1,7.721966112956812,10.06214,8.64773125,7.916057142857143
PLA2G2A,9.861972425249169,10.73414,9.40365625,10.47014761904762
